name,fbus,tbus,r_ohm,x_ohm,phases,enabled,is_switch,normamps
L1_1_2,bus1,bus2,0.0922,0.047,3,true,false,420.0
L2_2_3,bus2,bus3,0.493,0.2511,3,true,false,185.0
L3_3_4,bus3,bus4,0.366,0.1864,3,true,false,280.0
L4_4_5,bus4,bus5,0.3811,0.1941,3,true,false,280.0
L5_5_6,bus5,bus6,0.819,0.707,3,true,false,200.0
L6_6_7,bus6,bus7,0.1872,0.6188,3,true,false,360.0
L7_7_8,bus7,bus8,0.7114,0.2351,3,true,false,200.0
L8_8_9,bus8,bus9,1.03,0.74,3,true,false,160.0
L9_9_10,bus9,bus10,1.044,0.74,3,true,false,160.0
L10_10_11,bus10,bus11,0.1966,0.065,3,true,false,360.0
L11_11_12,bus11,bus12,0.3744,0.1238,3,true,false,280.0
L12_12_13,bus12,bus13,1.468,1.155,3,true,false,130.0
L13_13_14,bus13,bus14,0.5416,0.7129,3,true,false,240.0
L14_14_15,bus14,bus15,0.591,0.526,3,true,false,240.0
L15_15_16,bus15,bus16,0.7463,0.545,3,true,false,200.0
L16_16_17,bus16,bus17,1.289,1.721,3,true,false,130.0
L17_17_18,bus17,bus18,0.732,0.574,3,true,false,200.0
L18_2_19,bus2,bus19,0.164,0.1565,3,true,false,360.0
L19_19_20,bus19,bus20,1.5042,1.3554,3,true,false,130.0
L20_20_21,bus20,bus21,0.4095,0.4784,3,true,false,240.0
L21_21_22,bus21,bus22,0.7089,0.9373,3,true,false,200.0
L22_3_23,bus3,bus23,0.4512,0.3083,3,true,false,240.0
L23_23_24,bus23,bus24,0.898,0.7091,3,true,false,200.0
L24_24_25,bus24,bus25,0.896,0.7011,3,true,false,200.0
L25_6_26,bus6,bus26,0.203,0.1034,3,true,false,360.0
L26_26_27,bus26,bus27,0.2842,0.1447,3,true,false,280.0
L27_27_28,bus27,bus28,1.059,0.9337,3,true,false,160.0
L28_28_29,bus28,bus29,0.8042,0.7006,3,true,false,200.0
L29_29_30,bus29,bus30,0.5075,0.2585,3,true,false,240.0
L30_30_31,bus30,bus31,0.9744,0.963,3,true,false,160.0
L31_31_32,bus31,bus32,0.3105,0.3619,3,true,false,280.0
L32_32_33,bus32,bus33,0.341,0.5302,3,true,false,280.0
L33_21_8,bus21,bus8,2.0,2.0,3,false,true,
L34_9_15,bus9,bus15,2.0,2.0,3,false,true,
L35_12_22,bus12,bus22,2.0,2.0,3,false,true,
L36_18_33,bus18,bus33,0.5,0.5,3,false,true,
L37_25_29,bus25,bus29,0.5,0.5,3,false,true,
