name,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
PV_Bus6_irr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05938,0.118757,0.178137,0.237517,0.341607,0.445693,0.549783,0.653873,0.75815,0.862427,0.966703,1,1,0.986387,0.944087,0.90179,0.835137,0.768483,0.701833,0.63518,0.693457,0.751733,0.81001,0.868287,0.798833,0.72938,0.659927,0.590473,0.59718,0.603887,0.610593,0.6173,0.554167,0.491033,0.4279,0.364767,0.290703,0.21664,0.142577,0.068513,0.051383,0.034257,0.017127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_Bus14_irr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0.010998,0.016495,0.021995,0.06718,0.112363,0.157548,0.202732,0.280108,0.357483,0.43486,0.512235,0.55553,0.598825,0.64212,0.685415,0.721538,0.757658,0.79378,0.8299,0.760642,0.691383,0.622122,0.552865,0.532763,0.512657,0.492555,0.472453,0.44296,0.413467,0.383975,0.35448,0.362032,0.369585,0.37714,0.384693,0.355237,0.325785,0.296332,0.26688,0.213145,0.15941,0.105675,0.05194,0.038955,0.02597,0.012985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_Bus19_irr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007333,0.014663,0.021993,0.029327,0.087517,0.145707,0.203897,0.262087,0.380153,0.498223,0.616293,0.734363,0.827823,0.921283,1,1,1,1,1,1,1,0.943813,0.821127,0.69844,0.695283,0.692123,0.688967,0.68581,0.652277,0.618747,0.585213,0.551683,0.55206,0.552437,0.552813,0.55319,0.510937,0.468683,0.42643,0.384177,0.304523,0.22487,0.145217,0.065563,0.049173,0.03278,0.01639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_Bus25_irr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007333,0.014663,0.021993,0.029327,0.092547,0.15577,0.21899,0.28221,0.39338,0.504553,0.615723,0.726893,0.80361,0.880327,0.957043,1,1,1,1,1,1,0.981447,0.867523,0.753597,0.71505,0.6765,0.63795,0.599403,0.558763,0.518123,0.477487,0.436847,0.465933,0.49502,0.524107,0.553193,0.499007,0.44482,0.390637,0.33645,0.268357,0.200267,0.132177,0.064087,0.048067,0.032043,0.016023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_Bus31_irr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004125,0.008247,0.012373,0.016495,0.06169,0.106885,0.152078,0.197273,0.279115,0.36096,0.442802,0.524645,0.58693,0.649212,0.711498,0.77378,0.786905,0.800028,0.813153,0.826275,0.7521,0.677922,0.603745,0.52957,0.52765,0.525733,0.523813,0.521895,0.48759,0.453288,0.418985,0.384683,0.393352,0.402023,0.410693,0.419363,0.38208,0.344798,0.307515,0.27023,0.215208,0.160185,0.105162,0.05014,0.037605,0.02507,0.012535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BESS_Bus18_en,0.4500,0.4500,0.4500,0.4500,0.4000,0.4000,0.4000,0.4000,0.3600,0.3600,0.3600,0.3600,0.3300,0.3300,0.3300,0.3300,0.3100,0.3100,0.3100,0.3100,0.3000,0.3000,0.3000,0.3000,0.3200,0.3200,0.3200,0.3200,0.2800,0.2800,0.2800,0.2800,0.2600,0.2600,0.2600,0.2600,0.3000,0.3000,0.3000,0.3000,0.3500,0.3500,0.3500,0.3500,0.4200,0.4200,0.4200,0.4200,0.5000,0.5000,0.5000,0.5000,0.5800,0.5800,0.5800,0.5800,0.6600,0.6600,0.6600,0.6600,0.7400,0.7400,0.7400,0.7400,0.8000,0.8000,0.8000,0.8000,0.8500,0.8500,0.8500,0.8500,0.8200,0.8200,0.8200,0.8200,0.7500,0.7500,0.7500,0.7500,0.6600,0.6600,0.6600,0.6600,0.5800,0.5800,0.5800,0.5800,0.5200,0.5200,0.5200,0.5200,0.4800,0.4800,0.4800,0.4800
EV_Bus19_ub,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EV_Bus19_cur,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.712350,0.561375,0.502650,0.542475,0.546300,0.443925,0.282375,0.198675,0.198225,0.174600,0.162675,0.125100,0.155925,0.130725,0.250875,0.875025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.573750,0.430875,0.351675,0.342000,0.205875,0.184275,0.261675,0.147600,0.197775,0.206775,0.265500,0.245700,0.325125,0.311175,0.279000,0.302625,0.337275,0.413550,0.359325,0.333225,0.596475,0.841275,0.913275,0.912375,0.830700,0.773325,0.769950,0.882675,0.915750,0.814725,0.761400,0.671400,0.643950,0.673425,0.750825,0.654975,0.531900,0.450225,0.441000,0.434700
EV_Bus19_lb,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1500,0.1500,0.1500,0.1500,0.3000,0.3000,0.3000,0.3000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3500,0.3500,0.3500,0.3500,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3500,0.3500,0.3500,0.3500,0.5500,0.5500,0.5500,0.5500,0.6500,0.6500,0.6500,0.6500,0.7000,0.7000,0.7000,0.7000,0.6500,0.6500,0.6500,0.6500,0.5000,0.5000,0.5000,0.5000,0.3000,0.3000,0.3000,0.3000,0.1500,0.1500,0.1500,0.1500
EV_Bus7_ub,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
