sample_id,time_slot,Load1_mw,Load2_mw,Load3_mw,Load4_mw,Load5_mw,Load6_mw,Load7_mw,Load8_mw,Load9_mw,Load10_mw,Load11_mw,Load12_mw,Load13_mw,Load14_mw,Load15_mw,Load16_mw,Load17_mw,Load18_mw,Load19_mw,Load20_mw,Load21_mw,Load22_mw,Load23_mw,Load24_mw,Load25_mw,Load26_mw,Load27_mw,Load28_mw,Load29_mw,Load30_mw,Load31_mw,Load32_mw,fixed_total_mw,PV_Bus6_irr,PV_Bus14_irr,PV_Bus19_irr,PV_Bus25_irr,PV_Bus31_irr,BESS_Bus18_se_init_mwh,BESS_Bus18_p_init_mw,EV_Bus19_cur,EV_Bus19_lb,EV_Bus19_ub,EV_Bus7_cur,EV_Bus7_lb,EV_Bus7_ub,AC_Bus2_cur,AC_Bus2_lb,AC_Bus2_ub
1,0:00,0.041059,0.032131,0.051402,0.026156,0.019243,0.069313,0.080709,0.023151,0.023867,0.016401,0.026009,0.025766,0.048130,0.026602,0.025025,0.021853,0.037183,0.032422,0.039011,0.035681,0.035198,0.033419,0.187808,0.164763,0.022883,0.023065,0.025180,0.049561,0.082979,0.062342,0.101595,0.022935,1.512840,0.000000,0.000000,0.000000,0.000000,0.000000,1.400289,0.000000,0.378040,0.274163,0.529153,0.443434,0.295049,0.456572,0.365599,0.317867,0.535498
2,0:15,0.040271,0.037858,0.047587,0.024317,0.025126,0.067301,0.076262,0.022522,0.022124,0.017238,0.027167,0.021588,0.051845,0.019657,0.022843,0.024019,0.037529,0.037972,0.038263,0.034215,0.033812,0.038493,0.162273,0.144333,0.020956,0.021461,0.024809,0.047941,0.084220,0.056561,0.084030,0.025113,1.439704,0.000000,0.000000,0.000000,0.000000,0.000000,1.256089,0.000000,0.381715,0.307325,0.461207,0.379599,0.282681,0.434837,0.413082,0.280104,0.494517
3,0:30,0.032365,0.029971,0.040542,0.021031,0.024295,0.070819,0.074925,0.026396,0.022529,0.018813,0.021180,0.022881,0.042283,0.022569,0.025324,0.019326,0.036564,0.035875,0.032960,0.029974,0.035294,0.033186,0.167332,0.163884,0.027103,0.022802,0.020970,0.047560,0.079583,0.066340,0.088592,0.024195,1.427463,0.000000,0.000000,0.000000,0.000000,0.000000,1.295886,0.000000,0.446324,0.254953,0.458044,0.353274,0.278071,0.421982,0.414080,0.282920,0.417376
4,0:45,0.034672,0.027248,0.047412,0.021211,0.022129,0.072249,0.075876,0.025549,0.023451,0.017041,0.020697,0.019221,0.043930,0.022964,0.027170,0.023389,0.038035,0.032903,0.030528,0.031290,0.032120,0.042003,0.148341,0.175167,0.021003,0.025239,0.023977,0.045453,0.076646,0.053941,0.084413,0.022038,1.407308,0.000000,0.000000,0.000000,0.000000,0.000000,1.072771,0.000000,0.337639,0.248404,0.493167,0.445563,0.289357,0.479048,0.395799,0.321995,0.495436
5,1:00,0.032823,0.039872,0.053495,0.022405,0.021941,0.087164,0.067631,0.020774,0.024283,0.016436,0.022803,0.022442,0.047170,0.026026,0.023022,0.024284,0.027206,0.034056,0.031337,0.030051,0.031217,0.033079,0.174332,0.138522,0.022885,0.021710,0.022067,0.050206,0.080142,0.064666,0.078619,0.021227,1.413895,0.000000,0.000000,0.000000,0.000000,0.000000,1.113061,0.000000,0.371738,0.287046,0.488730,0.339016,0.282786,0.491211,0.439273,0.332849,0.439273
6,1:15,0.035279,0.026679,0.044562,0.020243,0.021450,0.068877,0.074786,0.018668,0.019327,0.020604,0.019733,0.020165,0.053619,0.029229,0.019996,0.021815,0.035134,0.039847,0.030621,0.033141,0.036615,0.035451,0.152581,0.156423,0.019535,0.022110,0.022046,0.046350,0.071305,0.059293,0.087300,0.023001,1.385786,0.000000,0.000000,0.000000,0.000000,0.000000,0.980183,0.000000,0.390766,0.278962,0.477492,0.350250,0.286270,0.472842,0.456502,0.321146,0.495911
7,1:30,0.040948,0.035258,0.039974,0.021423,0.023076,0.075338,0.072755,0.022251,0.021917,0.017120,0.025792,0.016713,0.043902,0.022880,0.023149,0.021647,0.027801,0.034831,0.039551,0.028552,0.036639,0.032617,0.156419,0.140814,0.021732,0.025406,0.023794,0.052757,0.083769,0.058677,0.092416,0.023471,1.403388,0.000000,0.000000,0.000000,0.000000,0.000000,1.036448,0.000000,0.405752,0.266577,0.477884,0.348591,0.301911,0.418788,0.404042,0.269487,0.530327
8,1:45,0.035268,0.038536,0.047481,0.020758,0.020055,0.074636,0.065342,0.020820,0.023014,0.018672,0.023676,0.017204,0.045994,0.022479,0.023241,0.025925,0.026570,0.031498,0.035455,0.028182,0.038418,0.034710,0.169450,0.147305,0.024134,0.024702,0.022837,0.045682,0.076404,0.050977,0.076960,0.021977,1.378362,0.000000,0.000000,0.000000,0.000000,0.000000,1.430962,0.000000,0.386223,0.299154,0.422004,0.367313,0.312253,0.436868,0.341378,0.277464,0.511814
9,2:00,0.036163,0.026571,0.051411,0.021138,0.022391,0.083510,0.062009,0.019379,0.018605,0.015295,0.023126,0.023313,0.045528,0.019022,0.017035,0.022272,0.031660,0.034754,0.035560,0.033687,0.035754,0.033990,0.163283,0.144137,0.021754,0.022588,0.023970,0.042560,0.077688,0.053908,0.076621,0.023990,1.362672,0.000000,0.000000,0.000000,0.000000,0.000000,1.079293,0.000000,0.295616,0.234299,0.399656,0.283043,0.250941,0.504363,0.358682,0.274525,0.520306
10,2:15,0.031454,0.030277,0.042718,0.023932,0.025964,0.063634,0.076741,0.019847,0.023204,0.016396,0.018096,0.024208,0.041624,0.020969,0.019782,0.020703,0.034650,0.032599,0.034320,0.034431,0.037616,0.032089,0.132163,0.171613,0.021418,0.024621,0.023001,0.043723,0.076415,0.066185,0.093635,0.022306,1.380333,0.000000,0.000000,0.000000,0.000000,0.000000,1.037100,0.000000,0.375114,0.298172,0.429522,0.381497,0.268504,0.483929,0.338432,0.226409,0.371936
