sense,target,r2,mae,rmse
max,p_sub_mw,0.998612,0.019989,0.025546
max,q_sub_mvar,0.976878,0.009344,0.012688
max,BESS_Bus18_p_net_mw,1.000000,0.000000,0.000000
max,BESS_Bus18_q_mvar,0.996001,0.003510,0.008006
max,BESS_Bus18_se_mwh,0.987131,0.071757,0.094293
max,PV_Bus6_p_out_mw,1.000000,0.000000,0.000000
max,PV_Bus14_p_out_mw,1.000000,0.000000,0.000000
max,PV_Bus19_p_out_mw,1.000000,0.000000,0.000000
max,PV_Bus25_p_out_mw,0.000000,0.000000,0.000000
max,PV_Bus31_p_out_mw,1.000000,0.000000,0.000000
max,PV_Bus6_q_out_mvar,-0.006814,0.000000,0.000000
max,PV_Bus14_q_out_mvar,1.000000,0.000000,0.000000
max,PV_Bus19_q_out_mvar,0.000000,0.000000,0.000000
max,PV_Bus25_q_out_mvar,0.951643,0.000947,0.003688
max,PV_Bus31_q_out_mvar,0.951644,0.000192,0.000749
max,EV_Bus19_p_out_mw,0.991578,0.005527,0.006969
max,EV_Bus7_p_out_mw,0.990607,0.008639,0.010988
max,AC_Bus2_p_out_mw,0.990949,0.002829,0.003600
min,p_sub_mw,0.978984,0.047588,0.061297
min,q_sub_mvar,0.992650,0.058732,0.077444
min,BESS_Bus18_p_net_mw,0.987289,0.048326,0.063712
min,BESS_Bus18_q_mvar,0.970359,0.037031,0.057928
min,BESS_Bus18_se_mwh,0.985661,0.021088,0.028339
min,PV_Bus6_p_out_mw,0.992177,0.003720,0.006074
min,PV_Bus14_p_out_mw,0.703627,0.003786,0.009667
min,PV_Bus19_p_out_mw,0.992166,0.005012,0.008095
min,PV_Bus25_p_out_mw,0.809039,0.004007,0.009741
min,PV_Bus31_p_out_mw,0.992483,0.003653,0.005897
min,PV_Bus6_q_out_mvar,0.968396,0.000945,0.002497
min,PV_Bus14_q_out_mvar,0.991236,0.003915,0.006352
min,PV_Bus19_q_out_mvar,0.972194,0.000905,0.002300
min,PV_Bus25_q_out_mvar,0.992083,0.004995,0.008111
min,PV_Bus31_q_out_mvar,0.732686,0.004617,0.012030
min,EV_Bus19_p_out_mw,0.991578,0.005527,0.006969
min,EV_Bus7_p_out_mw,0.990607,0.008639,0.010988
min,AC_Bus2_p_out_mw,0.990949,0.002829,0.003600
