name,bus,kv,kw,kvar,type,shape,npts,interval,mult_lb,mult_ub,enabled
Load1,bus2,12.66,100,60,fixed,Load1_cur,96,0.25,,,true
Load2,bus3,12.66,90,40,fixed,Load2_cur,96,0.25,,,true
Load3,bus4,12.66,120,80,fixed,Load3_cur,96,0.25,,,true
Load4,bus5,12.66,60,30,fixed,Load4_cur,96,0.25,,,true
Load5,bus6,12.66,60,20,fixed,Load5_cur,96,0.25,,,true
Load6,bus7,12.66,200,100,fixed,Load6_cur,96,0.25,,,true
Load7,bus8,12.66,200,100,fixed,Load7_cur,96,0.25,,,true
Load8,bus9,12.66,60,20,fixed,Load8_cur,96,0.25,,,true
Load9,bus10,12.66,60,20,fixed,Load9_cur,96,0.25,,,true
Load10,bus11,12.66,45,30,fixed,Load10_cur,96,0.25,,,true
Load11,bus12,12.66,60,35,fixed,Load11_cur,96,0.25,,,true
Load12,bus13,12.66,60,35,fixed,Load12_cur,96,0.25,,,true
Load13,bus14,12.66,120,80,fixed,Load13_cur,96,0.25,,,true
Load14,bus15,12.66,60,10,fixed,Load14_cur,96,0.25,,,true
Load15,bus16,12.66,60,20,fixed,Load15_cur,96,0.25,,,true
Load16,bus17,12.66,60,20,fixed,Load16_cur,96,0.25,,,true
Load17,bus18,12.66,90,40,fixed,Load17_cur,96,0.25,,,true
Load18,bus19,12.66,90,40,fixed,Load18_cur,96,0.25,,,true
Load19,bus20,12.66,90,40,fixed,Load19_cur,96,0.25,,,true
Load20,bus21,12.66,90,40,fixed,Load20_cur,96,0.25,,,true
Load21,bus22,12.66,90,40,fixed,Load21_cur,96,0.25,,,true
Load22,bus23,12.66,90,50,fixed,Load22_cur,96,0.25,,,true
Load23,bus24,12.66,420,200,fixed,Load23_cur,96,0.25,,,true
Load24,bus25,12.66,420,200,fixed,Load24_cur,96,0.25,,,true
Load25,bus26,12.66,60,25,fixed,Load25_cur,96,0.25,,,true
Load26,bus27,12.66,60,25,fixed,Load26_cur,96,0.25,,,true
Load27,bus28,12.66,60,20,fixed,Load27_cur,96,0.25,,,true
Load28,bus29,12.66,120,70,fixed,Load28_cur,96,0.25,,,true
Load29,bus30,12.66,200,600,fixed,Load29_cur,96,0.25,,,true
Load30,bus31,12.66,150,70,fixed,Load30_cur,96,0.25,,,true
Load31,bus32,12.66,210,100,fixed,Load31_cur,96,0.25,,,true
Load32,bus33,12.66,60,40,fixed,Load32_cur,96,0.25,,,true
EV_Bus19,bus19,12.66,400,100,ev,EV_Bus19_cur,96,0.25,EV_Bus19_lb_mu,EV_Bus19_ub_mu,true
EV_Bus7,bus7,12.66,600,150,ev,EV_Bus7_cur,96,0.25,EV_Bus7_lb_mu,EV_Bus7_ub_mu,true
AC_Bus2,bus2,12.66,200,100,ac,AC_Bus2_cur,96,0.25,AC_Bus2_lb_mu,AC_Bus2_ub_mu,true
