name,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Load1_cur,0.412103,0.387682,0.391905,0.382514,0.380176,0.376990,0.379632,0.371624,0.361036,0.370519,0.364747,0.368924,0.364444,0.376907,0.383799,0.390812,0.393168,0.416221,0.437869,0.452459,0.473239,0.498480,0.532217,0.557451,0.570066,0.588518,0.610917,0.617975,0.652620,0.673597,0.673826,0.694201,0.692761,0.732100,0.746508,0.755784,0.777249,0.774342,0.772846,0.776035,0.795921,0.793238,0.795450,0.806459,0.799948,0.811633,0.799318,0.803000,0.810508,0.799662,0.799143,0.810095,0.787747,0.798089,0.795899,0.805239,0.811389,0.802184,0.810564,0.796698,0.812472,0.807914,0.798191,0.806407,0.821775,0.811792,0.819463,0.834650,0.835558,0.807787,0.851383,0.814575,0.821565,0.819943,0.817526,0.811189,0.792700,0.795552,0.785837,0.795232,0.775348,0.762292,0.728547,0.718701,0.677412,0.644817,0.615091,0.573812,0.551982,0.523685,0.501226,0.464960,0.452575,0.447327,0.448560,0.464157
Load2_cur,0.396358,0.387640,0.384158,0.379595,0.376824,0.379340,0.364584,0.365599,0.371108,0.368147,0.371549,0.371994,0.366048,0.363518,0.398348,0.386059,0.404294,0.416615,0.440043,0.451673,0.462900,0.508877,0.518661,0.540084,0.566674,0.593319,0.605859,0.611586,0.616084,0.666769,0.668730,0.686476,0.681990,0.715123,0.739974,0.749472,0.776240,0.794320,0.782523,0.793897,0.779990,0.802459,0.790231,0.810533,0.795130,0.811225,0.798214,0.810109,0.817348,0.809525,0.800972,0.811615,0.796618,0.789274,0.787954,0.806701,0.803481,0.797401,0.808106,0.826514,0.808777,0.820957,0.809480,0.825395,0.834037,0.832907,0.814909,0.814000,0.829667,0.822349,0.823605,0.829871,0.805911,0.812042,0.808935,0.813752,0.792821,0.774707,0.793083,0.785165,0.756531,0.760835,0.721645,0.706782,0.679106,0.650209,0.615510,0.581415,0.540605,0.515313,0.487299,0.480933,0.441699,0.444153,0.441665,0.440200
Load3_cur,0.400050,0.398940,0.380746,0.382742,0.380373,0.375358,0.380578,0.369641,0.363579,0.373390,0.364957,0.371231,0.366190,0.366619,0.379305,0.382984,0.393231,0.418212,0.438611,0.463930,0.477342,0.503836,0.521284,0.553990,0.571003,0.589075,0.605908,0.619660,0.631435,0.658248,0.665369,0.689447,0.714970,0.703807,0.725561,0.751179,0.787493,0.770981,0.775742,0.799740,0.805831,0.786281,0.788458,0.801150,0.801565,0.815576,0.798641,0.804189,0.806828,0.809089,0.797122,0.785079,0.784341,0.797386,0.798226,0.801128,0.792485,0.805734,0.810983,0.812406,0.810130,0.833874,0.822191,0.827311,0.813232,0.825553,0.829605,0.839564,0.843689,0.831286,0.815157,0.827431,0.819528,0.812973,0.810113,0.800292,0.800569,0.776374,0.774771,0.778952,0.780057,0.731250,0.715652,0.699160,0.675239,0.645199,0.615956,0.574791,0.544177,0.522861,0.494281,0.477264,0.450571,0.454613,0.457942,0.438350
Load4_cur,0.398671,0.401249,0.383792,0.389536,0.377746,0.388195,0.372480,0.378201,0.363213,0.368377,0.372312,0.374811,0.374431,0.375430,0.381734,0.383688,0.389374,0.415518,0.443554,0.454267,0.478740,0.503212,0.512814,0.554019,0.585964,0.579979,0.604223,0.602895,0.653944,0.642636,0.652986,0.681145,0.672273,0.717611,0.736413,0.746130,0.770209,0.765288,0.781437,0.788384,0.800940,0.807728,0.796329,0.792421,0.806874,0.808180,0.814163,0.805165,0.813436,0.802046,0.802940,0.797054,0.816932,0.790315,0.799988,0.806995,0.809992,0.797034,0.793449,0.791164,0.808612,0.820855,0.832783,0.815209,0.823177,0.824028,0.833779,0.831367,0.832657,0.832070,0.840858,0.830759,0.827977,0.814280,0.818699,0.812573,0.810020,0.802112,0.794158,0.775065,0.771621,0.728844,0.738449,0.704537,0.685920,0.650863,0.628025,0.596711,0.547583,0.531664,0.492575,0.480933,0.454518,0.439072,0.439105,0.451915
Load5_cur,0.396823,0.399506,0.385189,0.384136,0.379013,0.379337,0.375532,0.362399,0.368246,0.363966,0.368851,0.367663,0.363501,0.377323,0.381913,0.392639,0.393408,0.404055,0.441020,0.457303,0.469522,0.503156,0.536958,0.548264,0.581860,0.597513,0.610018,0.621757,0.631656,0.650194,0.675758,0.689628,0.705669,0.702103,0.713172,0.719064,0.755465,0.765169,0.773913,0.770775,0.795151,0.794302,0.789332,0.796483,0.794024,0.808135,0.807221,0.805877,0.805109,0.798483,0.795839,0.805436,0.798604,0.791627,0.783672,0.789701,0.800107,0.809824,0.809940,0.797943,0.815636,0.809811,0.829445,0.803771,0.841546,0.825175,0.828591,0.833131,0.826398,0.819605,0.819825,0.823484,0.797285,0.826616,0.815638,0.831809,0.798436,0.816089,0.792136,0.772198,0.762428,0.755372,0.714325,0.695953,0.686862,0.675618,0.617124,0.574522,0.549592,0.517135,0.492805,0.471812,0.445628,0.453967,0.445446,0.452325
Load6_cur,0.391860,0.398354,0.390223,0.378779,0.382576,0.379935,0.374336,0.374132,0.366718,0.374268,0.369813,0.369507,0.363012,0.380509,0.391738,0.386257,0.394505,0.421146,0.432636,0.449331,0.480605,0.508263,0.527490,0.568745,0.598143,0.590548,0.606768,0.621344,0.641577,0.651590,0.664037,0.681188,0.695356,0.715738,0.714168,0.763611,0.767083,0.770688,0.775932,0.803727,0.797043,0.795247,0.780029,0.801115,0.812738,0.797021,0.803552,0.812013,0.807598,0.812117,0.804460,0.794566,0.800164,0.807407,0.795920,0.803213,0.792725,0.788297,0.811470,0.816988,0.817434,0.824984,0.804473,0.815072,0.823751,0.825708,0.828749,0.827668,0.825085,0.829760,0.832583,0.807616,0.835750,0.804899,0.807395,0.811941,0.803000,0.791934,0.782724,0.770342,0.750530,0.735122,0.720146,0.701494,0.693462,0.649993,0.615575,0.588403,0.559697,0.515594,0.485979,0.476835,0.448244,0.442573,0.453938,0.440640
Load7_cur,0.396140,0.394073,0.383510,0.384610,0.376818,0.380955,0.374009,0.375793,0.367658,0.366927,0.364549,0.367501,0.371955,0.370850,0.386527,0.386141,0.399836,0.418754,0.437976,0.459896,0.473797,0.505400,0.522756,0.560162,0.570275,0.586566,0.606708,0.612590,0.638813,0.642412,0.671868,0.685148,0.697180,0.708205,0.719442,0.735411,0.748241,0.753608,0.781925,0.787393,0.798633,0.801872,0.797257,0.797670,0.800189,0.788082,0.809576,0.797720,0.796356,0.787615,0.794239,0.773315,0.805409,0.784373,0.808149,0.796078,0.797603,0.803596,0.795381,0.801383,0.818807,0.807128,0.816517,0.818825,0.827180,0.839975,0.829530,0.841035,0.822176,0.812453,0.814134,0.825541,0.846272,0.814276,0.816895,0.800891,0.814400,0.793884,0.788916,0.780618,0.760129,0.734168,0.718708,0.712924,0.682365,0.636735,0.609941,0.588949,0.547459,0.515539,0.505249,0.475380,0.447263,0.448248,0.447252,0.446818
Load8_cur,0.403495,0.393600,0.385569,0.381493,0.372781,0.376135,0.374248,0.374959,0.366237,0.376631,0.373371,0.369694,0.378132,0.379638,0.386408,0.390237,0.393012,0.420591,0.437638,0.462795,0.475931,0.499101,0.534107,0.555963,0.573498,0.589952,0.599947,0.606570,0.638623,0.650733,0.668401,0.673133,0.689769,0.731144,0.724256,0.760134,0.779878,0.775163,0.781601,0.790993,0.798258,0.809392,0.796333,0.800360,0.810653,0.804790,0.798184,0.805837,0.820985,0.792989,0.816950,0.805037,0.791092,0.797897,0.811628,0.824171,0.804054,0.803046,0.806998,0.802428,0.816379,0.818941,0.825166,0.840062,0.830544,0.848167,0.802954,0.809445,0.827571,0.809107,0.849881,0.805793,0.818213,0.824266,0.804724,0.804544,0.808854,0.795275,0.764475,0.764408,0.739255,0.726667,0.726289,0.698319,0.680381,0.661389,0.626969,0.583620,0.556407,0.536582,0.497364,0.471346,0.452044,0.444348,0.448513,0.457378
Load9_cur,0.397189,0.387098,0.385706,0.385960,0.379545,0.377959,0.376196,0.368972,0.368991,0.368846,0.371273,0.374411,0.365377,0.372187,0.379191,0.377702,0.393644,0.410356,0.431385,0.457479,0.476388,0.504014,0.517387,0.556600,0.581917,0.600483,0.603803,0.630168,0.641376,0.638518,0.695435,0.690594,0.705828,0.716013,0.740049,0.741814,0.754484,0.762315,0.779914,0.772405,0.796136,0.786698,0.791353,0.814966,0.803153,0.786744,0.796027,0.801782,0.811081,0.806260,0.791588,0.800901,0.804931,0.790829,0.806164,0.797329,0.804346,0.790587,0.817194,0.798540,0.810115,0.816294,0.797780,0.842260,0.817086,0.840514,0.810931,0.825934,0.829119,0.838912,0.825135,0.832017,0.835283,0.839013,0.812911,0.812958,0.799599,0.803665,0.797715,0.765761,0.755398,0.743810,0.734624,0.703829,0.671010,0.658180,0.614395,0.584347,0.545861,0.530454,0.495816,0.473481,0.441412,0.450839,0.451091,0.452132
Load10_cur,0.398074,0.395184,0.388967,0.387306,0.381096,0.376303,0.372593,0.374138,0.373213,0.364111,0.374613,0.373440,0.364625,0.371346,0.377437,0.385245,0.389515,0.417821,0.433391,0.451660,0.475321,0.505362,0.536524,0.548593,0.575809,0.577647,0.605187,0.618101,0.636924,0.658207,0.673464,0.698034,0.695113,0.714016,0.724594,0.763103,0.776579,0.763795,0.782231,0.817211,0.806740,0.769786,0.796615,0.806232,0.811507,0.813821,0.803129,0.804393,0.810867,0.801244,0.793828,0.800215,0.802358,0.817675,0.798964,0.784213,0.790767,0.823335,0.817984,0.799134,0.824280,0.812394,0.821359,0.814824,0.804484,0.835615,0.819544,0.822566,0.825067,0.831756,0.828474,0.813800,0.806402,0.822413,0.818594,0.798126,0.818105,0.800702,0.759277,0.779112,0.759920,0.724679,0.715422,0.685304,0.665669,0.634154,0.609972,0.573715,0.548339,0.529804,0.499141,0.470890,0.446089,0.450697,0.437387,0.444086
Load11_cur,0.403188,0.392406,0.389447,0.387886,0.372102,0.380429,0.373298,0.380242,0.365197,0.366801,0.376227,0.367010,0.374269,0.372809,0.379585,0.390538,0.388554,0.403137,0.424610,0.460016,0.473049,0.498379,0.522905,0.551488,0.577540,0.591456,0.618279,0.621352,0.638783,0.669981,0.666646,0.684007,0.695499,0.713714,0.725505,0.743772,0.771719,0.763831,0.790444,0.777324,0.799956,0.786561,0.802602,0.809818,0.799362,0.797785,0.801905,0.797504,0.805639,0.787950,0.791406,0.792966,0.788834,0.810278,0.793012,0.783684,0.770712,0.809687,0.806400,0.814190,0.819841,0.809712,0.807011,0.815890,0.828384,0.812662,0.826196,0.819211,0.826091,0.846048,0.813555,0.837820,0.836193,0.805932,0.800013,0.811148,0.787005,0.790958,0.784759,0.781277,0.755197,0.752398,0.731601,0.698819,0.684972,0.645597,0.613741,0.568655,0.555577,0.508610,0.499257,0.485751,0.454640,0.451272,0.445001,0.438610
Load12_cur,0.402418,0.390054,0.391977,0.380571,0.387366,0.378353,0.372789,0.374151,0.366445,0.373676,0.363863,0.376065,0.370098,0.378954,0.388745,0.398217,0.407730,0.419834,0.438721,0.469676,0.479026,0.494379,0.534590,0.557016,0.557879,0.585016,0.602745,0.617851,0.629109,0.651790,0.664718,0.699139,0.700541,0.711240,0.750914,0.758932,0.760518,0.779496,0.777744,0.765778,0.785663,0.786156,0.801290,0.823113,0.811332,0.788419,0.791749,0.811726,0.805945,0.802505,0.794991,0.799221,0.796159,0.808331,0.811959,0.796944,0.776471,0.800107,0.811411,0.818869,0.822824,0.800298,0.834192,0.823282,0.817621,0.821011,0.807711,0.826302,0.823228,0.814988,0.824369,0.812582,0.824586,0.823975,0.794926,0.798509,0.790796,0.793642,0.782989,0.781810,0.761716,0.742174,0.727949,0.710561,0.681874,0.647862,0.612504,0.572810,0.550955,0.521171,0.503296,0.485864,0.449803,0.445458,0.444129,0.434564
Load13_cur,0.397408,0.396494,0.400465,0.379207,0.370552,0.376747,0.377811,0.366192,0.366065,0.377177,0.366687,0.375702,0.366846,0.383697,0.387929,0.392580,0.395317,0.417767,0.441644,0.456307,0.477597,0.495222,0.533110,0.557507,0.586959,0.587888,0.610828,0.615112,0.627495,0.663119,0.681070,0.680375,0.710449,0.709040,0.745158,0.748250,0.752553,0.771278,0.767662,0.775169,0.794470,0.796960,0.818392,0.808714,0.794189,0.806076,0.777720,0.803772,0.810296,0.784106,0.780753,0.805548,0.806073,0.798792,0.819385,0.805880,0.800995,0.802350,0.799906,0.806340,0.795953,0.829403,0.826967,0.823493,0.827354,0.824072,0.837627,0.823957,0.839857,0.833953,0.809947,0.828650,0.815850,0.827433,0.797837,0.827277,0.803734,0.797973,0.798835,0.786625,0.762099,0.748583,0.707826,0.692007,0.667069,0.631475,0.625730,0.579823,0.556910,0.523937,0.502694,0.472062,0.445192,0.454970,0.453361,0.443765
Load14_cur,0.400124,0.386971,0.386543,0.383496,0.385912,0.385758,0.377938,0.378342,0.365214,0.366285,0.374347,0.365219,0.371943,0.380625,0.392101,0.394313,0.395919,0.424635,0.431177,0.457702,0.474046,0.496839,0.528996,0.547952,0.582770,0.584732,0.608678,0.642111,0.637306,0.647401,0.663523,0.685376,0.711290,0.713497,0.718343,0.759301,0.765526,0.773949,0.786536,0.781941,0.800709,0.776808,0.797945,0.820892,0.820740,0.819355,0.802443,0.813488,0.804607,0.789479,0.805276,0.792026,0.803914,0.814341,0.803115,0.782452,0.814475,0.799183,0.808255,0.801245,0.802797,0.816765,0.838664,0.807376,0.821575,0.825846,0.832844,0.839837,0.823072,0.826602,0.839379,0.810835,0.830446,0.808686,0.817616,0.808486,0.795301,0.806974,0.788550,0.787538,0.762593,0.730352,0.723750,0.700085,0.660380,0.644883,0.609471,0.595929,0.543540,0.520873,0.488601,0.463790,0.446071,0.440209,0.439737,0.455884
Load15_cur,0.393685,0.392518,0.389223,0.388589,0.378589,0.373752,0.373829,0.382597,0.370429,0.369600,0.375093,0.375071,0.374804,0.372565,0.387891,0.389932,0.393154,0.418812,0.427429,0.450076,0.480204,0.515296,0.523405,0.549709,0.588379,0.610493,0.598627,0.620359,0.632168,0.640121,0.662313,0.686038,0.704686,0.718455,0.744506,0.735215,0.777673,0.773650,0.772113,0.782757,0.788860,0.790912,0.803425,0.807365,0.814717,0.827186,0.798049,0.814292,0.793036,0.789401,0.819729,0.805411,0.781444,0.787060,0.782666,0.792369,0.806973,0.803375,0.788577,0.824069,0.830849,0.805193,0.809021,0.818188,0.826868,0.811365,0.843301,0.829608,0.822330,0.833116,0.826229,0.828357,0.835028,0.821236,0.810771,0.796889,0.815966,0.797832,0.766144,0.781551,0.772772,0.730803,0.718111,0.693965,0.677282,0.648630,0.624820,0.601392,0.554323,0.523498,0.504313,0.471566,0.445564,0.447175,0.448107,0.440197
Load16_cur,0.405011,0.396750,0.386458,0.375641,0.376221,0.375224,0.372943,0.375122,0.368312,0.373393,0.373859,0.372555,0.370070,0.368664,0.387064,0.391848,0.396432,0.419402,0.428750,0.465784,0.485361,0.516575,0.533046,0.565691,0.579456,0.604334,0.617912,0.618479,0.644939,0.642658,0.680106,0.692513,0.708854,0.717615,0.752229,0.767236,0.767689,0.778307,0.772706,0.800799,0.793657,0.810160,0.802140,0.802427,0.826854,0.787198,0.810801,0.806328,0.812068,0.819556,0.812540,0.805577,0.806620,0.798796,0.791299,0.802845,0.799302,0.800325,0.811162,0.826233,0.821538,0.802870,0.827906,0.833074,0.822649,0.829032,0.812695,0.829815,0.824219,0.838309,0.830444,0.847269,0.827352,0.808876,0.830288,0.807129,0.836312,0.785835,0.791681,0.789893,0.761691,0.752198,0.714796,0.704131,0.684246,0.645797,0.601982,0.580367,0.549674,0.510973,0.505569,0.472245,0.453232,0.451589,0.442611,0.451018
